S0,K,r,T,corp,alpha,beta,omega,gamma,lambda,V
1.0,0.8750000000000011,0.05,126.0,1,-5.876148359032911,0.8,-5.999999999999996,100.0,0.5,0.12499971178981345
1.0,0.8750000000000011,0.05,126.0,-1,-5.876148359032911,0.8,-5.999999999999996,100.0,0.5,0.12499971178981345
1.0,1.0,0.05,126.0,1,-5.876148359032911,0.8,-5.999999999999996,100.0,0.5,0.014543346411775824
1.0,1.0,0.05,126.0,-1,-5.876148359032911,0.8,-5.999999999999996,100.0,0.5,0.0
1.0,1.1249999999999991,0.05,126.0,1,-5.876148359032911,0.8,-5.999999999999996,100.0,0.5,0.0008423522863657288
1.0,1.1249999999999991,0.05,126.0,-1,-5.876148359032911,0.8,-5.999999999999996,100.0,0.5,0.0
1.0,1.249999999999998,0.05,126.0,1,-5.876148359032911,0.8,-5.999999999999996,100.0,0.5,6.233233773723789e-05
1.0,1.249999999999998,0.05,126.0,-1,-5.876148359032911,0.8,-5.999999999999996,100.0,0.5,0.0
1.0,1.3749999999999967,0.05,126.0,1,-5.876148359032911,0.8,-5.999999999999996,100.0,0.5,0.0
1.0,1.3749999999999967,0.05,126.0,-1,-5.876148359032911,0.8,-5.999999999999996,100.0,0.5,0.0
1.0,1.5000000000000044,0.05,126.0,1,-5.876148359032911,0.8,-5.999999999999996,100.0,0.5,0.0
1.0,1.5000000000000044,0.05,126.0,-1,-5.876148359032911,0.8,-5.999999999999996,100.0,0.5,0.0
1.0,0.5,0.05,180.0,1,-5.876148359032911,0.8,-5.999999999999996,100.0,0.5,0.49999971288616674
1.0,0.5,0.05,180.0,-1,-5.876148359032911,0.8,-5.999999999999996,100.0,0.5,0.49999971288616674
1.0,0.6249999999999999,0.05,180.0,1,-5.876148359032911,0.8,-5.999999999999996,100.0,0.5,0.37500000109635334
1.0,0.6249999999999999,0.05,180.0,-1,-5.876148359032911,0.8,-5.999999999999996,100.0,0.5,0.37500000109635334
1.0,0.7500000000000004,0.05,180.0,1,-5.876148359032911,0.8,-5.999999999999996,100.0,0.5,0.2500002893065399
1.0,0.7500000000000004,0.05,180.0,-1,-5.876148359032911,0.8,-5.999999999999996,100.0,0.5,0.2500002893065399
1.0,0.8750000000000011,0.05,180.0,1,-5.876148359032911,0.8,-5.999999999999996,100.0,0.5,0.12499971178981345
1.0,0.8750000000000011,0.05,180.0,-1,-5.876148359032911,0.8,-5.999999999999996,100.0,0.5,0.12499971178981345
1.0,1.0,0.05,180.0,1,-5.876148359032911,0.8,-5.999999999999996,100.0,0.5,0.00847546647843832
1.0,1.0,0.05,180.0,-1,-5.876148359032911,0.8,-5.999999999999996,100.0,0.5,0.0
1.0,1.1249999999999991,0.05,180.0,1,-5.876148359032911,0.8,-5.999999999999996,100.0,0.5,0.00016621956729930104
1.0,1.1249999999999991,0.05,180.0,-1,-5.876148359032911,0.8,-5.999999999999996,100.0,0.5,0.0
1.0,1.249999999999998,0.05,180.0,1,-5.876148359032911,0.8,-5.999999999999996,100.0,0.5,4.328634565085965e-06
1.0,1.249999999999998,0.05,180.0,-1,-5.876148359032911,0.8,-5.999999999999996,100.0,0.5,0.0
1.0,1.3749999999999967,0.05,180.0,1,-5.876148359032911,0.8,-5.999999999999996,100.0,0.5,0.0
1.0,1.3749999999999967,0.05,180.0,-1,-5.876148359032911,0.8,-5.999999999999996,100.0,0.5,0.0
1.0,1.5000000000000044,0.05,180.0,1,-5.876148359032911,0.8,-5.999999999999996,100.0,0.5,0.0
1.0,1.5000000000000044,0.05,180.0,-1,-5.876148359032911,0.8,-5.999999999999996,100.0,0.5,0.0
1.0,0.5,0.05,252.0,1,-5.876148359032911,0.8,-5.999999999999996,100.0,0.5,0.49999971288616674
1.0,0.5,0.05,252.0,-1,-5.876148359032911,0.8,-5.999999999999996,100.0,0.5,0.49999971288616674
1.0,0.6249999999999999,0.05,252.0,1,-5.876148359032911,0.8,-5.999999999999996,100.0,0.5,0.37500000109635334
1.0,0.6249999999999999,0.05,252.0,-1,-5.876148359032911,0.8,-5.999999999999996,100.0,0.5,0.37500000109635334
1.0,0.7500000000000004,0.05,252.0,1,-5.876148359032911,0.8,-5.999999999999996,100.0,0.5,0.2500002893065399
1.0,0.7500000000000004,0.05,252.0,-1,-5.876148359032911,0.8,-5.999999999999996,100.0,0.5,0.2500002893065399
1.0,0.8750000000000011,0.05,252.0,1,-5.876148359032911,0.8,-5.999999999999996,100.0,0.5,0.12499971178981345
1.0,0.8750000000000011,0.05,252.0,-1,-5.876148359032911,0.8,-5.999999999999996,100.0,0.5,0.12499971178981345
1.0,1.0,0.05,252.0,1,-5.876148359032911,0.8,-5.999999999999996,100.0,0.5,0.004125188740526925
1.0,1.0,0.05,252.0,-1,-5.876148359032911,0.8,-5.999999999999996,100.0,0.5,0.0
1.0,1.1249999999999991,0.05,252.0,1,-5.876148359032911,0.8,-5.999999999999996,100.0,0.5,1.9045992086378247e-05
1.0,1.1249999999999991,0.05,252.0,-1,-5.876148359032911,0.8,-5.999999999999996,100.0,0.5,0.0
1.0,1.249999999999998,0.05,252.0,1,-5.876148359032911,0.8,-5.999999999999996,100.0,0.5,0.0
1.0,1.249999999999998,0.05,252.0,-1,-5.876148359032911,0.8,-5.999999999999996,100.0,0.5,0.0
1.0,1.3749999999999967,0.05,252.0,1,-5.876148359032911,0.8,-5.999999999999996,100.0,0.5,0.0
1.0,1.3749999999999967,0.05,252.0,-1,-5.876148359032911,0.8,-5.999999999999996,100.0,0.5,0.0
1.0,1.5000000000000044,0.05,252.0,1,-5.876148359032911,0.8,-5.999999999999996,100.0,0.5,0.0
1.0,1.5000000000000044,0.05,252.0,-1,-5.876148359032911,0.8,-5.999999999999996,100.0,0.5,0.0
1.0,0.5,0.05,360.0,1,-5.876148359032911,0.8,-5.999999999999996,100.0,0.5,0.49999971288616674
1.0,0.5,0.05,360.0,-1,-5.876148359032911,0.8,-5.999999999999996,100.0,0.5,0.49999971288616674
1.0,0.6249999999999999,0.05,360.0,1,-5.876148359032911,0.8,-5.999999999999996,100.0,0.5,0.37500000109635334
1.0,0.6249999999999999,0.05,360.0,-1,-5.876148359032911,0.8,-5.999999999999996,100.0,0.5,0.37500000109635334
1.0,0.7500000000000004,0.05,360.0,1,-5.876148359032911,0.8,-5.999999999999996,100.0,0.5,0.2500002893065399
1.0,0.7500000000000004,0.05,360.0,-1,-5.876148359032911,0.8,-5.999999999999996,100.0,0.5,0.2500002893065399
1.0,0.8750000000000011,0.05,360.0,1,-5.876148359032911,0.8,-5.999999999999996,100.0,0.5,0.12499971178981345
1.0,0.8750000000000011,0.05,360.0,-1,-5.876148359032911,0.8,-5.999999999999996,100.0,0.5,0.12499971178981345
1.0,1.0,0.05,360.0,1,-5.876148359032911,0.8,-5.999999999999996,100.0,0.5,0.0014007461452618182
1.0,1.0,0.05,360.0,-1,-5.876148359032911,0.8,-5.999999999999996,100.0,0.5,0.0
1.0,1.1249999999999991,0.05,360.0,1,-5.876148359032911,0.8,-5.999999999999996,100.0,0.5,8.65726913017193e-07
1.0,1.1249999999999991,0.05,360.0,-1,-5.876148359032911,0.8,-5.999999999999996,100.0,0.5,0.0
1.0,1.249999999999998,0.05,360.0,1,-5.876148359032911,0.8,-5.999999999999996,100.0,0.5,0.0
1.0,1.249999999999998,0.05,360.0,-1,-5.876148359032911,0.8,-5.999999999999996,100.0,0.5,0.0
1.0,1.3749999999999967,0.05,360.0,1,-5.876148359032911,0.8,-5.999999999999996,100.0,0.5,0.0
1.0,1.3749999999999967,0.05,360.0,-1,-5.876148359032911,0.8,-5.999999999999996,100.0,0.5,0.0
1.0,1.5000000000000044,0.05,360.0,1,-5.876148359032911,0.8,-5.999999999999996,100.0,0.5,0.0
1.0,1.5000000000000044,0.05,360.0,-1,-5.876148359032911,0.8,-5.999999999999996,100.0,0.5,0.0
1.0,0.5000000000000009,0.05,4.0,1,-5.876148359032911,0.8,-5.999999999999996,100.0,0.5,0.6419143303597916
1.0,0.5000000000000009,0.05,4.0,-1,-5.876148359032911,0.8,-5.999999999999996,100.0,0.5,0.49999983411348686
1.0,0.6250000000000007,0.05,4.0,1,-5.876148359032911,0.8,-5.999999999999996,100.0,0.5,0.5395736465731903
1.0,0.6250000000000007,0.05,4.0,-1,-5.876148359032911,0.8,-5.999999999999996,100.0,0.5,0.37500008884285607
1.0,0.7500000000000004,0.05,4.0,1,-5.876148359032911,0.8,-5.999999999999996,100.0,0.5,0.43723210975562565
1.0,0.7500000000000004,0.05,4.0,-1,-5.876148359032911,0.8,-5.999999999999996,100.0,0.5,0.2500003435722252
1.0,0.8750000000000011,0.05,4.0,1,-5.876148359032911,0.8,-5.999999999999996,100.0,0.5,0.33489057293806085
1.0,0.8750000000000011,0.05,4.0,-1,-5.876148359032911,0.8,-5.999999999999996,100.0,0.5,0.12499974527063085
1.0,1.0,0.05,4.0,1,-5.876148359032911,0.8,-5.999999999999996,100.0,0.5,0.23254903612049618
1.0,1.0,0.05,4.0,-1,-5.876148359032911,0.8,-5.999999999999996,100.0,0.5,0.0
1.0,1.124999999999999,0.05,4.0,1,-5.876148359032911,0.8,-5.999999999999996,100.0,0.5,0.13020835233389497
1.0,1.124999999999999,0.05,4.0,-1,-5.876148359032911,0.8,-5.999999999999996,100.0,0.5,0.0
1.0,1.2499999999999978,0.05,4.0,1,-5.876148359032911,0.8,-5.999999999999996,100.0,0.5,0.02786681551633024
1.0,1.2499999999999978,0.05,4.0,-1,-5.876148359032911,0.8,-5.999999999999996,100.0,0.5,0.0
1.0,1.3750000000000053,0.05,4.0,1,-5.876148359032911,0.8,-5.999999999999996,100.0,0.5,0.0
1.0,1.3750000000000053,0.05,4.0,-1,-5.876148359032911,0.8,-5.999999999999996,100.0,0.5,0.0
1.0,1.5000000000000042,0.05,4.0,1,-5.876148359032911,0.8,-5.999999999999996,100.0,0.5,0.0
1.0,1.5000000000000042,0.05,4.0,-1,-5.876148359032911,0.8,-5.999999999999996,100.0,0.5,0.0
1.0,0.5000000000000009,0.05,9.0,1,-5.876148359032911,0.8,-5.999999999999996,100.0,0.5,0.5054942065495308
1.0,0.5000000000000009,0.05,9.0,-1,-5.876148359032911,0.8,-5.999999999999996,100.0,0.5,0.49999983411348686
1.0,0.6250000000000007,0.05,9.0,1,-5.876148359032911,0.8,-5.999999999999996,100.0,0.5,0.4202201132501103
1.0,0.6250000000000007,0.05,9.0,-1,-5.876148359032911,0.8,-5.999999999999996,100.0,0.5,0.37500008884285607
1.0,0.7500000000000004,0.05,9.0,1,-5.876148359032911,0.8,-5.999999999999996,100.0,0.5,0.3405163121424872
1.0,0.7500000000000004,0.05,9.0,-1,-5.876148359032911,0.8,-5.999999999999996,100.0,0.5,0.2500003435722252
1.0,0.8750000000000011,0.05,9.0,1,-5.876148359032911,0.8,-5.999999999999996,100.0,0.5,0.26081336406582756
1.0,0.8750000000000011,0.05,9.0,-1,-5.876148359032911,0.8,-5.999999999999996,100.0,0.5,0.12499974527063085
1.0,1.0,0.05,9.0,1,-5.876148359032911,0.8,-5.999999999999996,100.0,0.5,0.18110956295820443
1.0,1.0,0.05,9.0,-1,-5.876148359032911,0.8,-5.999999999999996,100.0,0.5,0.0
1.0,1.124999999999999,0.05,9.0,1,-5.876148359032911,0.8,-5.999999999999996,100.0,0.5,0.10140576185058131
1.0,1.124999999999999,0.05,9.0,-1,-5.876148359032911,0.8,-5.999999999999996,100.0,0.5,0.0
1.0,1.2499999999999978,0.05,9.0,1,-5.876148359032911,0.8,-5.999999999999996,100.0,0.5,0.021702813773921695
1.0,1.2499999999999978,0.05,9.0,-1,-5.876148359032911,0.8,-5.999999999999996,100.0,0.5,0.0
1.0,1.3750000000000053,0.05,9.0,1,-5.876148359032911,0.8,-5.999999999999996,100.0,0.5,0.0
1.0,1.3750000000000053,0.05,9.0,-1,-5.876148359032911,0.8,-5.999999999999996,100.0,0.5,0.0
1.0,1.5000000000000042,0.05,9.0,1,-5.876148359032911,0.8,-5.999999999999996,100.0,0.5,0.0
1.0,1.5000000000000042,0.05,9.0,-1,-5.876148359032911,0.8,-5.999999999999996,100.0,0.5,0.0
1.0,0.5000000000000009,0.05,20.0,1,-5.876148359032911,0.8,-5.999999999999996,100.0,0.5,0.49999983411348686
1.0,0.5000000000000009,0.05,20.0,-1,-5.876148359032911,0.8,-5.999999999999996,100.0,0.5,0.49999983411348686
1.0,0.6250000000000007,0.05,20.0,1,-5.876148359032911,0.8,-5.999999999999996,100.0,0.5,0.37500008884285607
1.0,0.6250000000000007,0.05,20.0,-1,-5.876148359032911,0.8,-5.999999999999996,100.0,0.5,0.37500008884285607
1.0,0.7500000000000004,0.05,20.0,1,-5.876148359032911,0.8,-5.999999999999996,100.0,0.5,0.2500003435722252
1.0,0.7500000000000004,0.05,20.0,-1,-5.876148359032911,0.8,-5.999999999999996,100.0,0.5,0.2500003435722252
1.0,0.8750000000000011,0.05,20.0,1,-5.876148359032911,0.8,-5.999999999999996,100.0,0.5,0.15742089310120397
1.0,0.8750000000000011,0.05,20.0,-1,-5.876148359032911,0.8,-5.999999999999996,100.0,0.5,0.12499974527063085
1.0,1.0,0.05,20.0,1,-5.876148359032911,0.8,-5.999999999999996,100.0,0.5,0.10449117484563966
1.0,1.0,0.05,20.0,-1,-5.876148359032911,0.8,-5.999999999999996,100.0,0.5,0.0
1.0,1.124999999999999,0.05,20.0,1,-5.876148359032911,0.8,-5.999999999999996,100.0,0.5,0.05850598166410634
1.0,1.124999999999999,0.05,20.0,-1,-5.876148359032911,0.8,-5.999999999999996,100.0,0.5,0.0
1.0,1.2499999999999978,0.05,20.0,1,-5.876148359032911,0.8,-5.999999999999996,100.0,0.5,0.012521641513536538
1.0,1.2499999999999978,0.05,20.0,-1,-5.876148359032911,0.8,-5.999999999999996,100.0,0.5,0.0
1.0,1.3750000000000053,0.05,20.0,1,-5.876148359032911,0.8,-5.999999999999996,100.0,0.5,0.0
1.0,1.3750000000000053,0.05,20.0,-1,-5.876148359032911,0.8,-5.999999999999996,100.0,0.5,0.0
1.0,1.5000000000000042,0.05,20.0,1,-5.876148359032911,0.8,-5.999999999999996,100.0,0.5,0.0
1.0,1.5000000000000042,0.05,20.0,-1,-5.876148359032911,0.8,-5.999999999999996,100.0,0.5,0.0
1.0,0.5000000000000009,0.05,41.0,1,-5.876148359032911,0.8,-5.999999999999996,100.0,0.5,0.49999983411348686
1.0,0.5000000000000009,0.05,41.0,-1,-5.876148359032911,0.8,-5.999999999999996,100.0,0.5,0.49999983411348686
1.0,0.6250000000000007,0.05,41.0,1,-5.876148359032911,0.8,-5.999999999999996,100.0,0.5,0.37500008884285607
1.0,0.6250000000000007,0.05,41.0,-1,-5.876148359032911,0.8,-5.999999999999996,100.0,0.5,0.37500008884285607
1.0,0.7500000000000004,0.05,41.0,1,-5.876148359032911,0.8,-5.999999999999996,100.0,0.5,0.2500003435722252
1.0,0.7500000000000004,0.05,41.0,-1,-5.876148359032911,0.8,-5.999999999999996,100.0,0.5,0.2500003435722252
1.0,0.8750000000000011,0.05,41.0,1,-5.876148359032911,0.8,-5.999999999999996,100.0,0.5,0.12499974527063085
1.0,0.8750000000000011,0.05,41.0,-1,-5.876148359032911,0.8,-5.999999999999996,100.0,0.5,0.12499974527063085
1.0,1.0,0.05,41.0,1,-5.876148359032911,0.8,-5.999999999999996,100.0,0.5,0.04733212907293425
1.0,1.0,0.05,41.0,-1,-5.876148359032911,0.8,-5.999999999999996,100.0,0.5,0.0
1.0,1.124999999999999,0.05,41.0,1,-5.876148359032911,0.8,-5.999999999999996,100.0,0.5,0.02047359615548678
1.0,1.124999999999999,0.05,41.0,-1,-5.876148359032911,0.8,-5.999999999999996,100.0,0.5,0.0
1.0,1.2499999999999978,0.05,41.0,1,-5.876148359032911,0.8,-5.999999999999996,100.0,0.5,0.004382020059611499
1.0,1.2499999999999978,0.05,41.0,-1,-5.876148359032911,0.8,-5.999999999999996,100.0,0.5,0.0
1.0,1.3750000000000053,0.05,41.0,1,-5.876148359032911,0.8,-5.999999999999996,100.0,0.5,0.0
1.0,1.3750000000000053,0.05,41.0,-1,-5.876148359032911,0.8,-5.999999999999996,100.0,0.5,0.0
1.0,1.5000000000000042,0.05,41.0,1,-5.876148359032911,0.8,-5.999999999999996,100.0,0.5,0.0
