number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout_rate,params_epochs,params_lr,params_weight_decay,state
34,0.004187777591869235,2025-01-27 23:04:45.562257,2025-01-27 23:11:23.910743,0 days 00:06:38.348486,256,0.3,157,0.0027520567159720535,3.36691631497372e-05,COMPLETE
35,0.005632994789630174,2025-01-27 23:11:23.911237,2025-01-27 23:18:12.846219,0 days 00:06:48.934982,256,0.3,161,0.0030929600863001,2.531457569767625e-05,COMPLETE
36,0.005677083192858845,2025-01-27 23:18:12.846871,2025-01-27 23:26:03.376704,0 days 00:07:50.529833,32,0.0,168,0.006355682826135187,4.687761967242198e-05,COMPLETE
37,0.016132580302655696,2025-01-27 23:26:03.377318,2025-01-27 23:32:45.019669,0 days 00:06:41.642351,256,0.3,158,0.0009047760901756095,0.0005281099824647866,COMPLETE
38,0.004914529202505946,2025-01-27 23:32:45.020439,2025-01-27 23:37:31.747634,0 days 00:04:46.727195,128,0.3,115,0.0028964748638470924,2.4613190617244788e-06,COMPLETE
39,0.1262457400560379,2025-01-27 23:37:31.748150,2025-01-27 23:44:03.451123,0 days 00:06:31.702973,256,0.4,154,0.0006827242501999874,2.1607842219718742e-05,COMPLETE
40,0.01271849125623703,2025-01-27 23:44:03.451701,2025-01-27 23:51:43.200794,0 days 00:07:39.749093,256,0.5,181,0.00041895449708601116,7.611714066694721e-05,COMPLETE
41,0.0104886619374156,2025-01-27 23:51:43.201343,2025-01-27 23:57:23.914952,0 days 00:05:40.713609,256,0.3,134,0.00211557697275046,0.00019308092675785895,COMPLETE
42,0.30764206051826476,2025-01-27 23:57:23.915515,2025-01-28 00:03:30.402793,0 days 00:06:06.487278,256,0.3,144,0.0015966932930783055,0.007697673443301734,COMPLETE
43,0.004730286402627825,2025-01-28 00:03:30.403378,2025-01-28 00:08:48.515032,0 days 00:05:18.111654,256,0.3,125,0.002616803894631697,0.0003012744108403201,COMPLETE
44,0.0044468002626672385,2025-01-28 00:08:48.515551,2025-01-28 00:14:46.602043,0 days 00:05:58.086492,64,0.2,137,0.0039060896768294885,0.00010093968398057447,COMPLETE
45,0.004404416680335999,2025-01-28 00:14:46.602653,2025-01-28 00:22:58.696786,0 days 00:08:12.094133,256,0.3,194,0.007455573290010195,0.0005531036494014539,COMPLETE
46,0.005368477423326112,2025-01-28 00:22:58.697333,2025-01-28 00:29:56.621122,0 days 00:06:57.923789,32,0.1,149,0.004980126815342583,0.000390256059337836,COMPLETE
47,0.005473776918370277,2025-01-28 00:29:56.621725,2025-01-28 00:34:04.216111,0 days 00:04:07.594386,64,0.3,95,0.0011306174509920295,6.676428129933043e-05,COMPLETE
48,0.007884332304820418,2025-01-28 00:34:04.216721,2025-01-28 00:40:39.632007,0 days 00:06:35.415286,128,0.3,159,0.001752365206162938,2.7826037526430098e-05,COMPLETE
49,0.04293265119194985,2025-01-28 00:40:39.632565,2025-01-28 00:46:40.424430,0 days 00:06:00.791865,256,0.0,142,2.3069745427173427e-05,1.3974897276665481e-05,COMPLETE
