v_pred,v_target,impl_pred,impl_target
16.74266,16.640816,0.0028189763,0.0
4.459142,4.7248416,0.00033420837,0.0
6.1233873,5.648263,0.0008076039,0.0
1.4483622,1.8066374,0.00028780883,0.0
5.6410756,5.449637,0.07914054,0.0938
15.692413,15.49248,0.16188297,0.1875
1.748527,1.0999943,0.0074121547,0.0236
5.0360055,5.648263,0.18083352,0.1875
10.748821,11.115265,0.30474782,0.375
21.970423,20.850647,0.76588976,0.75
15.417793,16.215853,0.103233695,0.09819999
16.607563,16.685642,0.1599793,0.1875
19.717443,20.214533,0.0027618126,0.0
22.259232,21.798546,0.7253655,0.75
15.677628,15.637985,0.75650764,0.75
9.433489,9.423636,0.00052971346,0.0
4.998929,5.5576324,0.15169522,0.1875
5.964264,5.5618815,0.08126,0.0938
1.8459122,0.9478079,0.00192479,0.0
4.6194487,4.711818,0.10124416,0.0938
26.319147,25.708872,0.29283458,0.30810001
22.180721,20.934107,0.7486989,0.75
21.24834,20.799772,0.2682476,0.265
10.825936,11.123761,0.15307714,0.1875
20.082386,18.899366,0.24232087,0.1875
16.759048,16.640816,0.25208876,0.1875
1.4839731,1.8195492,0.00029471942,0.0
10.129617,10.467054,0.0007899002,0.0
9.670037,9.449683,0.18132351,0.1875
21.472708,20.65664,0.0024872215,0.0
21.634554,22.59305,0.0021844301,0.0
21.171465,21.798546,0.2074328,0.1875
1.1840905,0.620948,0.00033410126,0.0
10.153675,10.244935,0.059956923,0.0761
15.861346,16.640816,0.38843352,0.375
15.875554,15.700582,0.0026975428,0.0
11.635583,11.830448,0.2911604,0.2941
10.431026,10.4253235,0.32653388,0.375
0.92952645,1.0658431,0.00041544664,0.0
5.251598,5.449637,0.0005053764,0.0
5.5248275,5.1641603,0.23419848,0.1875
10.906277,10.899273,0.0006750487,0.0
16.428509,15.890675,0.24070182,0.2221
15.410343,14.135456,0.16157556,0.1875
16.589973,16.672897,0.1851834,0.1875
5.031489,5.630642,0.011027713,0.0
