S0,109.909759332807,109.909759332807,109.909759332807,109.909759332807,109.909759332807,109.909759332807,109.909759332807,109.909759332807,109.909759332807,109.909759332807,109.909759332807,109.909759332807,109.909759332807,109.909759332807,109.909759332807,109.909759332807,109.909759332807,109.909759332807,109.909759332807,109.909759332807,109.909759332807,109.909759332807,109.909759332807,109.909759332807,109.909759332807,109.909759332807,109.909759332807,109.909759332807,109.909759332807,109.909759332807,109.909759332807,109.909759332807,109.909759332807,109.909759332807,109.909759332807,109.909759332807,109.909759332807,109.909759332807,109.909759332807,109.909759332807,109.909759332807,109.909759332807,109.909759332807,109.909759332807,109.909759332807,109.909759332807,109.909759332807,109.909759332807,109.909759332807,109.909759332807,109.909759332807,109.909759332807,109.909759332807,109.909759332807,109.909759332807,109.909759332807,109.909759332807,109.909759332807,109.909759332807,109.909759332807,109.909759332807,109.909759332807,109.909759332807,109.909759332807,109.909759332807,109.909759332807,109.909759332807,109.909759332807,109.909759332807,109.909759332807,109.909759332807,109.909759332807,109.909759332807,109.909759332807,109.909759332807,109.909759332807,109.909759332807,109.909759332807,109.909759332807,109.909759332807,109.909759332807,109.909759332807,109.909759332807,109.909759332807,109.909759332807,109.909759332807,109.909759332807,109.909759332807,109.909759332807,109.909759332807,109.909759332807,109.909759332807,109.909759332807,109.909759332807,109.909759332807,109.909759332807,109.909759332807,109.909759332807,109.909759332807,109.909759332807,109.909759332807,109.909759332807,109.909759332807,109.909759332807,109.909759332807,109.909759332807,109.909759332807,109.909759332807
K,87.9278074662457,87.9278074662457,93.423295432886,93.423295432886,98.9187833995264,98.9187833995264,104.414271366167,104.414271366167,109.909759332807,109.909759332807,115.405247299447,115.405247299447,120.900735266088,120.900735266088,126.396223232728,126.396223232728,131.891711199369,131.891711199369,87.9278074662457,87.9278074662457,93.423295432886,93.423295432886,98.9187833995264,98.9187833995264,104.414271366167,104.414271366167,109.909759332807,109.909759332807,115.405247299447,115.405247299447,120.900735266088,120.900735266088,126.396223232728,126.396223232728,131.891711199369,131.891711199369,87.9278074662457,87.9278074662457,93.423295432886,93.423295432886,98.9187833995264,98.9187833995264,104.414271366167,104.414271366167,109.909759332807,109.909759332807,115.405247299447,115.405247299447,120.900735266088,120.900735266088,126.396223232728,126.396223232728,131.891711199369,131.891711199369,87.9278074662457,87.9278074662457,93.423295432886,93.423295432886,98.9187833995264,98.9187833995264,104.414271366167,104.414271366167,109.909759332807,109.909759332807,115.405247299447,115.405247299447,120.900735266088,120.900735266088,126.396223232728,126.396223232728,131.891711199369,131.891711199369,87.9278074662457,87.9278074662457,93.423295432886,93.423295432886,98.9187833995264,98.9187833995264,104.414271366167,104.414271366167,109.909759332807,109.909759332807,115.405247299447,115.405247299447,120.900735266088,120.900735266088,126.396223232728,126.396223232728,131.891711199369,131.891711199369,87.9278074662457,87.9278074662457,93.423295432886,93.423295432886,98.9187833995264,98.9187833995264,104.414271366167,104.414271366167,109.909759332807,109.909759332807,115.405247299447,115.405247299447,120.900735266088,120.900735266088,126.396223232728,126.396223232728,131.891711199369,131.891711199369
r,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03
T,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122,122
corp,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1
alpha,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06
beta,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
omega,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06
gamma,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
lambda,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
