predictions,targets
[12.69088077545166],[28.892200469970703]
[12.690881729125977],[0.0]
[12.750489234924316],[24.899799346923828]
[12.750489234924316],[0.011300000362098217]
[12.810028076171875],[20.907499313354492]
[12.810028076171875],[3.6458001136779785]
[12.869437217712402],[16.91510009765625]
[12.869437217712402],[8.284299850463867]
[12.928849220275879],[12.922800064086914]
[12.928849220275879],[12.922800064086914]
[12.985339164733887],[8.930399894714355]
[12.985339164733887],[17.56130027770996]
[13.039310455322266],[4.9380998611450195]
[13.039310455322266],[22.19969940185547]
[13.083264350891113],[0.9783999919891357]
[13.083264350891113],[26.838199615478516]
[13.125971794128418],[0.0]
[13.125971794128418],[31.476699829101562]
[11.472291946411133],[24.867700576782227]
[11.472291946411133],[0.0]
[11.53192138671875],[21.431499481201172]
[11.53192138671875],[0.009700000286102295]
[11.591462135314941],[17.99519920349121]
[11.591462135314941],[3.138000011444092]
[11.650872230529785],[14.559000015258789]
[11.650872230529785],[7.130300045013428]
[11.70944881439209],[11.122699737548828]
[11.70944881439209],[11.122699737548828]
[11.763422966003418],[7.686500072479248]
[11.763422966003418],[15.115099906921387]
[11.81739330291748],[4.250199794769287]
[11.81739330291748],[19.107500076293945]
[11.871369361877441],[0.8421000242233276]
[11.871369361877441],[23.099899291992188]
[11.917689323425293],[0.0]
[11.917689323425293],[27.092300415039062]
[8.791446685791016],[18.881399154663086]
[8.791446685791016],[0.0]
[8.851078033447266],[15.556699752807617]
[8.851078033447266],[0.007000000216066837]
[8.910616874694824],[12.937199592590332]
[8.910616874694824],[2.25600004196167]
[8.967262268066406],[10.46679973602295]
[8.967262268066406],[5.126200199127197]
[9.021234512329102],[7.996399879455566]
[9.021234512329102],[7.996399879455566]
[9.075207710266113],[5.526000022888184]
[9.075207710266113],[10.866600036621094]
[9.129180908203125],[3.0555999279022217]
[9.129180908203125],[13.736800193786621]
[9.18315315246582],[0.605400025844574]
[9.18315315246582],[16.635000228881836]
[9.237168312072754],[0.0]
[9.237168312072754],[19.8981990814209]
[4.34601354598999],[18.553800582885742]
[4.34601354598999],[0.0]
[4.332380771636963],[13.915300369262695]
[4.332380771636963],[0.003700000001117587]
[4.318627834320068],[9.406299591064453]
[4.318627834320068],[1.2015000581741333]
[4.322739124298096],[6.296999931335449]
[4.322739124298096],[2.7302000522613525]
[4.376933574676514],[4.3206000328063965]
[4.376933574676514],[4.3206000328063965]
[4.464719295501709],[2.9430999755859375]
[4.464719295501709],[6.493299961090088]
[4.569137096405029],[1.6274000406265259]
[4.569137096405029],[9.625900268554688]
[4.680479049682617],[0.3224000036716461]
[4.680479049682617],[13.915300369262695]
[4.791821479797363],[0.0]
[4.791821479797363],[18.553800582885742]
[2.6362862586975098],[18.553800582885742]
[2.6362862586975098],[0.0]
[2.697932481765747],[13.915300369262695]
[2.697932481765747],[0.0020000000949949026]
[2.759578227996826],[9.276900291442871]
[2.759578227996826],[0.6399000287055969]
[2.8212242126464844],[5.114299774169922]
[2.8212242126464844],[1.47160005569458]
[2.8828697204589844],[2.8120999336242676]
[2.8828697204589844],[2.8120999336242676]
[2.944516181945801],[1.595900058746338]
[2.9445157051086426],[5.21120023727417]
[3.006161689758301],[0.8666999936103821]
[3.006161689758301],[9.276900291442871]
[3.067807912826538],[0.17170000076293945]
[3.067807912826538],[13.915300369262695]
[3.129453182220459],[0.0]
[3.129453182220459],[18.553800582885742]
[1.1299508810043335],[18.553800582885742]
[1.1299508810043335],[0.0]
[1.156683325767517],[13.915300369262695]
[1.156683325767517],[0.0003000000142492354]
[1.1916340589523315],[9.276900291442871]
[1.1916340589523315],[0.09690000116825104]
[1.242026686668396],[4.638400077819824]
[1.242026686668396],[0.37950000166893005]
[1.29241943359375],[1.336300015449524]
[1.29241943359375],[1.336300015449524]
[1.342812180519104],[0.4244000017642975]
[1.3428120613098145],[4.638400077819824]
[1.3932050466537476],[0.13500000536441803]
[1.3932050466537476],[9.276900291442871]
[1.443597674369812],[0.02590000070631504]
[1.443597674369812],[13.915300369262695]
[1.4939903020858765],[0.0]
[1.4939903020858765],[18.553800582885742]
[12.880614280700684],[29.329299926757812]
[12.880614280700684],[0.0]
[12.940617561340332],[25.276599884033203]
[12.940617561340332],[0.011500000022351742]
[12.999289512634277],[21.223800659179688]
[12.999289512634277],[3.7009999752044678]
[13.057815551757812],[17.171100616455078]
[13.057815551757812],[8.409600257873535]
[13.11634349822998],[13.118300437927246]
[13.11634349822998],[13.118300437927246]
[13.174405097961426],[9.065500259399414]
[13.174405097961426],[17.82699966430664]
[13.227574348449707],[5.012800216674805]
[13.227574348449707],[22.535600662231445]
[13.270367622375488],[0.9932000041007996]
[13.270367622375488],[27.244300842285156]
[13.31243896484375],[0.0]
[13.31243896484375],[31.952999114990234]
[11.66330337524414],[25.243999481201172]
[11.66330337524414],[0.0]
[11.72204875946045],[21.755800247192383]
[11.72204875946045],[0.00989999994635582]
[11.78072452545166],[18.267499923706055]
[11.78072452545166],[3.1854000091552734]
[11.839249610900879],[14.77929973602295]
[11.839249610900879],[7.2382001876831055]
[11.89777660369873],[11.291000366210938]
[11.89777660369873],[11.291000366210938]
[11.952488899230957],[7.802800178527832]
[11.952488899230957],[15.343799591064453]
[12.005658149719238],[4.314499855041504]
[12.005658149719238],[19.3966007232666]
[12.058829307556152],[0.8547999858856201]
[12.058829307556152],[23.449399948120117]
[12.104156494140625],[0.0]
[12.104156494140625],[27.502199172973633]
[8.982460021972656],[18.823999404907227]
[8.982460021972656],[0.0]
[9.041205406188965],[15.694899559020996]
[9.041205406188965],[0.0071000000461936]
[9.099881172180176],[13.13290023803711]
[9.099881172180176],[2.29010009765625]
[9.157934188842773],[10.625200271606445]
[9.157934188842773],[5.203700065612793]
[9.211105346679688],[8.117400169372559]
[9.211105346679688],[8.117400169372559]
[9.264273643493652],[5.609600067138672]
[9.264273643493652],[11.031000137329102]
[9.31744384765625],[3.101799964904785]
[9.31744384765625],[13.944700241088867]
[9.370614051818848],[0.6146000027656555]
[9.370614051818848],[16.858999252319336]
[9.423784255981445],[0.0]
[9.423784255981445],[19.9773006439209]
[4.441747665405273],[18.27790069580078]
[4.441747188568115],[0.0]
[4.429835796356201],[13.708399772644043]
[4.429835796356201],[0.003800000064074993]
[4.41631555557251],[9.322199821472168]
[4.41631555557251],[1.2196999788284302]
[4.402880668640137],[6.304699897766113]
[4.402880668640137],[2.7715001106262207]
[4.44236946105957],[4.363999843597412]
[4.44236946105957],[4.363999843597412]
[4.523509502410889],[2.987600088119507]
[4.523509502410889],[6.5071001052856445]
[4.6331963539123535],[1.6519999504089355]
[4.6331963539123535],[9.539899826049805]
[4.742881774902344],[0.3273000121116638]
[4.742881774902344],[13.708399772644043]
[4.87068510055542],[0.0]
[4.87068510055542],[18.27790069580078]
[2.6404309272766113],[18.27790069580078]
[2.6404309272766113],[0.0]
[2.701159715652466],[13.708399772644043]
[2.701159954071045],[0.0020000000949949026]
[2.7618889808654785],[9.138899803161621]
[2.7618889808654785],[0.6496000289916992]
[2.822618246078491],[5.068600177764893]
[2.822618246078491],[1.489300012588501]
[2.883347511291504],[2.8201000690460205]
[2.883347511291504],[2.8201000690460205]
[2.9440770149230957],[1.613700032234192]
[2.9440770149230957],[5.164700031280518]
[3.00480580329895],[0.879800021648407]
[3.004805564880371],[9.138899803161621]
[3.0655345916748047],[0.17430000007152557]
[3.0655345916748047],[13.708399772644043]
