Type,T,K_0.8,K_0.85,K_0.9,K_0.95,K_1,K_1.05,K_1.1,K_1.15,K_1.2
Call,1,34.977,30.144,25.311,20.478,15.644,10.811,5.978,1.184,0
Call,6,30.105,25.945,21.785,17.625,13.465,9.305,5.145,1.019,0
Call,17,21.695,18.653,15.662,12.671,9.681,6.69,3.699,0.733,0
Call,38,19.922,14.941,10.345,7.247,5.16,3.563,1.97,0.39,0
Call,59,19.922,14.941,9.961,5.625,3.244,1.908,1.049,0.208,0
Call,122,19.922,14.941,9.961,4.98,1.478,0.49,0.162,0.031,0
Put,1,0,0,0,0,-0,4.98,9.961,14.941,19.922
Put,6,0,0,0,0,-0,4.98,9.961,14.941,19.922
Put,17,0,0,0,0,-0,4.98,9.961,14.941,19.922
Put,38,0,0,0,0,-0,4.98,9.961,14.941,19.922
Put,59,0,0,0,0,-0,4.98,9.961,14.941,19.922
Put,122,0,0,0,0,-0,4.98,9.961,14.941,19.922
