S0,92.7180778895773,92.7180778895773,92.7180778895773,92.7180778895773,92.7180778895773,92.7180778895773,92.7180778895773,92.7180778895773,92.7180778895773,92.7180778895773,92.7180778895773,92.7180778895773,92.7180778895773,92.7180778895773,92.7180778895773,92.7180778895773,92.7180778895773,92.7180778895773,92.7180778895773,92.7180778895773,92.7180778895773,92.7180778895773,92.7180778895773,92.7180778895773,92.7180778895773,92.7180778895773,92.7180778895773,92.7180778895773,92.7180778895773,92.7180778895773,92.7180778895773,92.7180778895773,92.7180778895773,92.7180778895773,92.7180778895773,92.7180778895773,92.7180778895773,92.7180778895773,92.7180778895773,92.7180778895773,92.7180778895773,92.7180778895773,92.7180778895773,92.7180778895773,92.7180778895773,92.7180778895773,92.7180778895773,92.7180778895773,92.7180778895773,92.7180778895773,92.7180778895773,92.7180778895773,92.7180778895773,92.7180778895773,92.7180778895773,92.7180778895773,92.7180778895773,92.7180778895773,92.7180778895773,92.7180778895773,92.7180778895773,92.7180778895773,92.7180778895773,92.7180778895773,92.7180778895773,92.7180778895773,92.7180778895773,92.7180778895773,92.7180778895773,92.7180778895773,92.7180778895773,92.7180778895773,92.7180778895773,92.7180778895773,92.7180778895773,92.7180778895773,92.7180778895773,92.7180778895773,92.7180778895773,92.7180778895773,92.7180778895773,92.7180778895773,92.7180778895773,92.7180778895773,92.7180778895773,92.7180778895773,92.7180778895773,92.7180778895773,92.7180778895773,92.7180778895773,92.7180778895773,92.7180778895773,92.7180778895773,92.7180778895773,92.7180778895773,92.7180778895773,92.7180778895773,92.7180778895773,92.7180778895773,92.7180778895773,92.7180778895773,92.7180778895773,92.7180778895773,92.7180778895773,92.7180778895773,92.7180778895773,92.7180778895773,92.7180778895773
K,74.1744623116618,74.1744623116618,78.8103662061407,78.8103662061407,83.4462701006196,83.4462701006196,88.0821739950984,88.0821739950984,92.7180778895773,92.7180778895773,97.3539817840562,97.3539817840562,101.989885678535,101.989885678535,106.625789573014,106.625789573014,111.261693467493,111.261693467493,74.1744623116618,74.1744623116618,78.8103662061407,78.8103662061407,83.4462701006196,83.4462701006196,88.0821739950984,88.0821739950984,92.7180778895773,92.7180778895773,97.3539817840562,97.3539817840562,101.989885678535,101.989885678535,106.625789573014,106.625789573014,111.261693467493,111.261693467493,74.1744623116618,74.1744623116618,78.8103662061407,78.8103662061407,83.4462701006196,83.4462701006196,88.0821739950984,88.0821739950984,92.7180778895773,92.7180778895773,97.3539817840562,97.3539817840562,101.989885678535,101.989885678535,106.625789573014,106.625789573014,111.261693467493,111.261693467493,74.1744623116618,74.1744623116618,78.8103662061407,78.8103662061407,83.4462701006196,83.4462701006196,88.0821739950984,88.0821739950984,92.7180778895773,92.7180778895773,97.3539817840562,97.3539817840562,101.989885678535,101.989885678535,106.625789573014,106.625789573014,111.261693467493,111.261693467493,74.1744623116618,74.1744623116618,78.8103662061407,78.8103662061407,83.4462701006196,83.4462701006196,88.0821739950984,88.0821739950984,92.7180778895773,92.7180778895773,97.3539817840562,97.3539817840562,101.989885678535,101.989885678535,106.625789573014,106.625789573014,111.261693467493,111.261693467493,74.1744623116618,74.1744623116618,78.8103662061407,78.8103662061407,83.4462701006196,83.4462701006196,88.0821739950984,88.0821739950984,92.7180778895773,92.7180778895773,97.3539817840562,97.3539817840562,101.989885678535,101.989885678535,106.625789573014,106.625789573014,111.261693467493,111.261693467493
r,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03
T,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125,125
corp,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1,1,-1
alpha,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06,1.33e-06
beta,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8,0.8
omega,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06,1e-06
gamma,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
lambda,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
V,29.7557,0,25.6441,0.0117,21.5324,3.7548,17.4207,8.5319,13.309,13.309,9.1973,18.0862,5.0857,22.8633,1.0076,27.6404,0,32.4175,25.611,0,22.072,0.01,18.5331,3.2318,14.9941,7.3435,11.4552,11.4552,7.9162,15.5669,4.3773,19.6786,0.8673,23.7903,0,27.902,19.0976,0,15.9231,0.0072,13.3239,2.3234,10.7796,5.2794,8.2354,8.2354,5.6912,11.1914,3.1469,14.1474,0.6235,17.1041,0,20.2678,18.5436,0,13.9077,0.0038,9.4577,1.2374,6.3964,2.8118,4.4275,4.4275,3.0311,6.6017,1.676,9.6786,0.3321,13.9077,0,18.5436,18.5436,0,13.9077,0.002,9.2718,0.659,5.1423,1.511,2.8611,2.8611,1.6372,5.2398,0.8926,9.2718,0.1769,13.9077,0,18.5436,18.5436,0,13.9077,0.0003,9.2718,0.0997,4.6359,0.3862,1.3452,1.3452,0.4319,4.6359,0.1387,9.2718,0.0267,13.9077,0,18.5436
