S
100
99.8108
99.9785
99.8624
100
100.3291
99.6663
100.411
100.1568
100.6926
101.3049
100.7417
100.8229
102.191
102.0875
102.3286
102.4823
103.0103
103.4503
103.098
102.9352
103.0703
103.0566
103.9106
104.0992
104.2748
103.98
103.5087
103.8302
103.7635
104.0014
103.728
104.0462
103.447
104.0912
104.4414
104.4904
104.0815
103.9368
104.0372
104.4623
104.114
104.592
105.603
105.3864
105.5963
105.3398
104.6725
105.3349
105.6427
105.4439
105.4952
105.4179
104.9125
103.7873
103.7695
103.549
103.2879
102.9189
102.1345
101.8914
101.972
101.532
101.731
101.6301
101.5988
101.0994
100.8076
100.9732
100.695
100.7603
101.4433
101.7494
102.1258
102.9499
103.4354
103.5978
104.3193
103.9696
103.7054
104.5049
104.7019
104.6925
104.8674
104.7831
104.6926
104.574
104.404
104.1085
104.0949
103.9154
104.3924
104.479
104.8142
104.7764
104.758
105.1406
105.6049
105.6226
106.166
106.3387
106.4672
107.165
107.7615
108.1224
108.2792
108.0977
108.0646
108.6817
107.9404
107.6583
107.5825
107.6512
106.9694
107.2136
107.5242
107.1653
107.0693
106.617
107.2814
107.4413
107.3527
107.0222
107.0664
107.6731
107.7839
107.9161
107.5216
107.5899
107.867
107.4127
107.8492
108.7736
108.0962
107.1274
107.0964
107.4793
107.4493
107.3888
107.3986
107.0031
106.3627
107.0718
107.207
106.7332
107.1968
106.6812
106.6364
106.9419
106.6307
106.5038
106.5217
107.2129
107.3984
107.26
107.1871
107.0983
107.5397
107.45
107.1953
107.2846
107.2607
107.5165
107.8185
108.1603
108.3698
108.5691
109.1416
108.7392
108.6138
107.998
108.3996
108.4156
108.3089
107.688
107.7738
107.6774
107.1706
106.7008
106.3828
106.2847
105.6366
105.563
105.8274
105.6877
105.4331
105.5537
105.9476
105.8003
105.6489
105.1756
104.8105
105.0545
105.0197
105.2937
105.5246
105.6519
105.8935
106.358
106.5536
106.6941
106.688
106.3323
106.169
106.285
105.9388
106.1089
106.2223
106.2605
106.3582
106.3718
106.3723
106.3766
106.6353
106.6169
105.9027
105.6951
105.7852
106.1713
106.6993
106.3523
106.6537
106.7477
106.6828
106.6979
106.6958
106.7456
106.8225
106.6382
106.3331
106.6589
106.5944
107.0489
106.7484
106.5473
107.052
107.5643
107.1968
107.2828
107.7718
108.2624
107.8018
108.4538
108.7293
108.823
108.7493
108.4234
108.465
108.3837
109.1652
109.2499
109.1909
109.1929
108.988
109.7184
109.9802
110.0156
110.4229
110.4183
110.3924
110.2186
110.0233
110.5683
110.853
110.8903
111.4622
111.4781
111.5861
111.1249
111.3148
110.7995
110.4032
110.8085
110.9558
110.6376
110.4923
110.595
110.6794
110.1171
109.6349
108.8864
108.8592
108.0996
108.4516
108.0036
107.5093
108.3427
109.3511
108.9639
108.954
109.8271
109.5885
110.3515
110.7227
110.7532
110.6226
111.27
111.5599
111.3296
111.4841
111.1812
111.2433
111.7854
111.9884
111.7308
111.8628
111.633
112.3454
111.6381
111.3401
111.6956
111.3575
111.3725
111.6392
112.1178
111.7792
111.7207
111.5537
111.5194
111.6554
111.4577
111.7351
111.8826
111.7408
111.8358
112.1446
112.4605
112.6779
112.6651
112.486
112.5632
112.4297
112.3348
112.6261
113.0816
113.2895
113.9651
113.3775
113.3951
113.4418
114.0764
114.2861
114.1707
114.3822
114.6148
114.6837
114.0377
114.4896
113.0591
113.1368
112.2492
112.0479
112.829
112.5691
113.5318
113.9299
113.8229
113.4339
113.2227
113.39
112.4574
112.7805
112.9206
113.2882
114.146
114.0086
113.5982
114.1202
114.5046
114.4549
114.2361
114.338
113.9411
113.9742
113.7472
113.4522
113.8275
113.8461
114.3285
113.9428
114.0438
113.6682
113.917
114.4074
114.7983
114.0329
114.362
114.3735
114.5188
114.315
113.6942
114.0976
113.8931
113.7664
113.8398
114.788
115.8515
115.2039
114.9685
115.4595
114.5184
115.1936
115.0423
115.7188
115.3199
114.9031
115.9834
116.2872
116.1509
115.7026
116.2102
116.3661
115.4606
115.0059
116.5214
116.5229
115.4614
114.9474
114.7172
115.0969
115.0245
115.0793
115.0792
114.6972
115.1959
115.0549
114.8803
114.9628
114.9459
114.7717
114.8235
115.538
115.764
115.5227
115.1988
115.1124
114.5261
115.331
115.431
114.9498
115.0107
114.4236
114.6952
114.6262
114.6505
114.7952
115.1089
114.8341
114.3102
114.2746
113.9585
114.136
113.4481
113.8464
113.9851
113.5493
113.4237
113.7686
114.7104
114.5577
115.1691
114.8077
114.9047
114.8285
114.9674
114.7935
114.2882
114.1844
114.3651
114.1849
114.1247
114.2743
114.4635
114.2329
114.1493
114.4462
114.5621
114.1449
114.7282
114.4966
114.2347
113.6915
113.6518
113.6176
113.5006
113.1952
112.5682
113.9179
114.74
114.5621
114.5138
114.6858
114.6883
114.4675
114.8443
114.4195
115.2264
114.4621
114.3099
114.7267
114.7862
114.1771
114.605
114.6829
114.363
