Type,T,K_0.8,K_0.85,K_0.9,K_0.95,K_1,K_1.05,K_1.1,K_1.15,K_1.2
Call,5,30.3092,26.1211,21.9329,17.7448,13.5566,9.3684,5.1803,1.0263,0
Call,10,26.0874,22.4826,18.8778,15.2731,11.6683,8.0635,4.4587,0.8834,0
Call,21,19.8074,16.3197,13.5717,10.9802,8.3886,5.797,3.2055,0.6351,0
Call,42,19.4638,14.5978,9.8677,6.6059,4.5325,3.0875,1.7072,0.3382,0
Call,63,19.4638,14.5978,9.7319,5.3652,2.95,1.6742,0.9092,0.1801,0
Call,126,19.4638,14.5978,9.7319,4.8659,1.4018,0.4453,0.1416,0.0272,0
Put,5,0,0.0119,3.8246,8.6906,13.5566,18.4226,23.2886,28.1546,33.0206
Put,10,0,0.0102,3.2919,7.4801,11.6683,15.8565,20.0447,24.2329,28.4211
Put,21,0,0.0073,2.3666,5.3776,8.3886,11.3996,14.4106,17.4509,20.8742
Put,42,0,0.0039,1.2604,2.8641,4.5325,6.8117,10.098,14.5978,19.4638
Put,63,0,0.0021,0.6713,1.5438,2.95,5.4668,9.7319,14.5978,19.4638
Put,126,0,0.0003,0.1016,0.3981,1.4018,4.8659,9.7319,14.5978,19.4638
