S0,m,r,T,corp,alpha,beta,omega,gamma,lambda,V
130.572416745979,0.95,0.03,42,-1,1.33e-06,0.8,1e-06,100,0.5,0.0938
130.572416745979,1,0.03,42,1,1.33e-06,0.8,1e-06,100,0.5,0
130.572416745979,1,0.03,42,-1,1.33e-06,0.8,1e-06,100,0.5,0.0234
130.572416745979,1.05,0.03,42,1,1.33e-06,0.8,1e-06,100,0.5,0
130.572416745979,1.05,0.03,42,-1,1.33e-06,0.8,1e-06,100,0.5,0.0469
130.572416745979,1.1,0.03,42,1,1.33e-06,0.8,1e-06,100,0.5,0
130.572416745979,1.1,0.03,42,-1,1.33e-06,0.8,1e-06,100,0.5,0.0469
130.572416745979,1.15,0.03,42,1,1.33e-06,0.8,1e-06,100,0.5,0
130.572416745979,1.15,0.03,42,-1,1.33e-06,0.8,1e-06,100,0.5,0.0469
130.572416745979,1.2,0.03,42,1,1.33e-06,0.8,1e-06,100,0.5,0
130.572416745979,1.2,0.03,42,-1,1.33e-06,0.8,1e-06,100,0.5,0.0469
130.572416745979,0.8,0.03,63,1,1.33e-06,0.8,1e-06,100,0.5,0
130.572416745979,0.8,0.03,63,-1,1.33e-06,0.8,1e-06,100,0.5,0.1875
130.572416745979,0.85,0.03,63,1,1.33e-06,0.8,1e-06,100,0.5,0
130.572416745979,0.85,0.03,63,-1,1.33e-06,0.8,1e-06,100,0.5,0.1875
130.572416745979,0.9,0.03,63,1,1.33e-06,0.8,1e-06,100,0.5,0
130.572416745979,0.9,0.03,63,-1,1.33e-06,0.8,1e-06,100,0.5,0.1875
130.572416745979,0.95,0.03,63,1,1.33e-06,0.8,1e-06,100,0.5,0
130.572416745979,0.95,0.03,63,-1,1.33e-06,0.8,1e-06,100,0.5,0.0938
130.572416745979,1,0.03,63,1,1.33e-06,0.8,1e-06,100,0.5,0
130.572416745979,1,0.03,63,-1,1.33e-06,0.8,1e-06,100,0.5,0.0469
130.572416745979,1.05,0.03,63,1,1.33e-06,0.8,1e-06,100,0.5,0
130.572416745979,1.05,0.03,63,-1,1.33e-06,0.8,1e-06,100,0.5,0.0469
130.572416745979,1.1,0.03,63,1,1.33e-06,0.8,1e-06,100,0.5,0
130.572416745979,1.1,0.03,63,-1,1.33e-06,0.8,1e-06,100,0.5,0.0469
130.572416745979,1.15,0.03,63,1,1.33e-06,0.8,1e-06,100,0.5,0
130.572416745979,1.15,0.03,63,-1,1.33e-06,0.8,1e-06,100,0.5,0.0469
130.572416745979,1.2,0.03,63,1,1.33e-06,0.8,1e-06,100,0.5,0
130.572416745979,1.2,0.03,63,-1,1.33e-06,0.8,1e-06,100,0.5,0.0469
130.572416745979,0.8,0.03,126,1,1.33e-06,0.8,1e-06,100,0.5,0
130.572416745979,0.8,0.03,126,-1,1.33e-06,0.8,1e-06,100,0.5,0.375
130.572416745979,0.85,0.03,126,1,1.33e-06,0.8,1e-06,100,0.5,0
130.572416745979,0.85,0.03,126,-1,1.33e-06,0.8,1e-06,100,0.5,0.1875
130.572416745979,0.9,0.03,126,1,1.33e-06,0.8,1e-06,100,0.5,0
130.572416745979,0.9,0.03,126,-1,1.33e-06,0.8,1e-06,100,0.5,0.1875
130.572416745979,0.95,0.03,126,1,1.33e-06,0.8,1e-06,100,0.5,0
130.572416745979,0.95,0.03,126,-1,1.33e-06,0.8,1e-06,100,0.5,0.1875
130.572416745979,1,0.03,126,1,1.33e-06,0.8,1e-06,100,0.5,0
130.572416745979,1,0.03,126,-1,1.33e-06,0.8,1e-06,100,0.5,0.0469
130.572416745979,1.05,0.03,126,1,1.33e-06,0.8,1e-06,100,0.5,0
130.572416745979,1.05,0.03,126,-1,1.33e-06,0.8,1e-06,100,0.5,0.0469
130.572416745979,1.1,0.03,126,1,1.33e-06,0.8,1e-06,100,0.5,0
130.572416745979,1.1,0.03,126,-1,1.33e-06,0.8,1e-06,100,0.5,0.0469
130.572416745979,1.15,0.03,126,1,1.33e-06,0.8,1e-06,100,0.5,0
130.572416745979,1.15,0.03,126,-1,1.33e-06,0.8,1e-06,100,0.5,0.0469
130.572416745979,1.2,0.03,126,1,1.33e-06,0.8,1e-06,100,0.5,0
130.572416745979,1.2,0.03,126,-1,1.33e-06,0.8,1e-06,100,0.5,0.0469
130.572416745979,0.8,0.03,180,1,1.33e-06,0.8,1e-06,100,0.5,0
130.572416745979,0.8,0.03,180,-1,1.33e-06,0.8,1e-06,100,0.5,0.375
130.572416745979,0.85,0.03,180,1,1.33e-06,0.8,1e-06,100,0.5,0
130.572416745979,0.85,0.03,180,-1,1.33e-06,0.8,1e-06,100,0.5,0.375
130.572416745979,0.9,0.03,180,1,1.33e-06,0.8,1e-06,100,0.5,0
130.572416745979,0.9,0.03,180,-1,1.33e-06,0.8,1e-06,100,0.5,0.1875
130.572416745979,0.95,0.03,180,1,1.33e-06,0.8,1e-06,100,0.5,0
130.572416745979,0.95,0.03,180,-1,1.33e-06,0.8,1e-06,100,0.5,0.1875
130.572416745979,1,0.03,180,1,1.33e-06,0.8,1e-06,100,0.5,0
130.572416745979,1,0.03,180,-1,1.33e-06,0.8,1e-06,100,0.5,0.0469
130.572416745979,1.05,0.03,180,1,1.33e-06,0.8,1e-06,100,0.5,0
130.572416745979,1.05,0.03,180,-1,1.33e-06,0.8,1e-06,100,0.5,0.0469
130.572416745979,1.1,0.03,180,1,1.33e-06,0.8,1e-06,100,0.5,0
130.572416745979,1.1,0.03,180,-1,1.33e-06,0.8,1e-06,100,0.5,0.0469
130.572416745979,1.15,0.03,180,1,1.33e-06,0.8,1e-06,100,0.5,0
130.572416745979,1.15,0.03,180,-1,1.33e-06,0.8,1e-06,100,0.5,0.0469
130.572416745979,1.2,0.03,180,1,1.33e-06,0.8,1e-06,100,0.5,0
130.572416745979,1.2,0.03,180,-1,1.33e-06,0.8,1e-06,100,0.5,0.0938
130.572416745979,0.8,0.03,252,1,1.33e-06,0.8,1e-06,100,0.5,0
130.572416745979,0.8,0.03,252,-1,1.33e-06,0.8,1e-06,100,0.5,0.75
130.572416745979,0.85,0.03,252,1,1.33e-06,0.8,1e-06,100,0.5,0
130.572416745979,0.85,0.03,252,-1,1.33e-06,0.8,1e-06,100,0.5,0.375
130.572416745979,0.9,0.03,252,1,1.33e-06,0.8,1e-06,100,0.5,0
130.572416745979,0.9,0.03,252,-1,1.33e-06,0.8,1e-06,100,0.5,0.375
130.572416745979,0.95,0.03,252,1,1.33e-06,0.8,1e-06,100,0.5,0
130.572416745979,0.95,0.03,252,-1,1.33e-06,0.8,1e-06,100,0.5,0.1875
130.572416745979,1,0.03,252,1,1.33e-06,0.8,1e-06,100,0.5,0
130.572416745979,1,0.03,252,-1,1.33e-06,0.8,1e-06,100,0.5,0.0938
130.572416745979,1.05,0.03,252,1,1.33e-06,0.8,1e-06,100,0.5,0
130.572416745979,1.05,0.03,252,-1,1.33e-06,0.8,1e-06,100,0.5,0.0938
130.572416745979,1.1,0.03,252,1,1.33e-06,0.8,1e-06,100,0.5,0
130.572416745979,1.1,0.03,252,-1,1.33e-06,0.8,1e-06,100,0.5,0.0938
130.572416745979,1.15,0.03,252,1,1.33e-06,0.8,1e-06,100,0.5,0
130.572416745979,1.15,0.03,252,-1,1.33e-06,0.8,1e-06,100,0.5,0.0938
130.572416745979,1.2,0.03,252,1,1.33e-06,0.8,1e-06,100,0.5,0
130.572416745979,1.2,0.03,252,-1,1.33e-06,0.8,1e-06,100,0.5,0.0938
130.572416745979,0.8,0.03,360,1,1.33e-06,0.8,1e-06,100,0.5,0
130.572416745979,0.8,0.03,360,-1,1.33e-06,0.8,1e-06,100,0.5,0.75
130.572416745979,0.85,0.03,360,1,1.33e-06,0.8,1e-06,100,0.5,0
130.572416745979,0.85,0.03,360,-1,1.33e-06,0.8,1e-06,100,0.5,0.75
130.572416745979,0.9,0.03,360,1,1.33e-06,0.8,1e-06,100,0.5,0
130.572416745979,0.9,0.03,360,-1,1.33e-06,0.8,1e-06,100,0.5,0.375
130.572416745979,0.95,0.03,360,1,1.33e-06,0.8,1e-06,100,0.5,0
130.572416745979,0.95,0.03,360,-1,1.33e-06,0.8,1e-06,100,0.5,0.375
130.572416745979,1,0.03,360,1,1.33e-06,0.8,1e-06,100,0.5,0
130.572416745979,1,0.03,360,-1,1.33e-06,0.8,1e-06,100,0.5,0.0938
130.572416745979,1.05,0.03,360,1,1.33e-06,0.8,1e-06,100,0.5,0
130.572416745979,1.05,0.03,360,-1,1.33e-06,0.8,1e-06,100,0.5,0.0938
130.572416745979,1.1,0.03,360,1,1.33e-06,0.8,1e-06,100,0.5,0
130.572416745979,1.1,0.03,360,-1,1.33e-06,0.8,1e-06,100,0.5,0.0938
130.572416745979,1.15,0.03,360,1,1.33e-06,0.8,1e-06,100,0.5,0
130.572416745979,1.15,0.03,360,-1,1.33e-06,0.8,1e-06,100,0.5,0.0938
130.572416745979,1.2,0.03,360,1,1.33e-06,0.8,1e-06,100,0.5,0
130.572416745979,1.2,0.03,360,-1,1.33e-06,0.8,1e-06,100,0.5,0.0938
100.270374171711,0.8,0.03,4,1,1.33e-06,0.8,1e-06,100,0.5,0.1875
100.270374171711,0.8,0.03,4,-1,1.33e-06,0.8,1e-06,100,0.5,0.1875
100.270374171711,0.85,0.03,4,1,1.33e-06,0.8,1e-06,100,0.5,0.1641
100.270374171711,0.85,0.03,4,-1,1.33e-06,0.8,1e-06,100,0.5,0.1875
100.270374171711,0.9,0.03,4,1,1.33e-06,0.8,1e-06,100,0.5,0.1418
100.270374171711,0.9,0.03,4,-1,1.33e-06,0.8,1e-06,100,0.5,0.0938
100.270374171711,0.95,0.03,4,1,1.33e-06,0.8,1e-06,100,0.5,0.1198
100.270374171711,0.95,0.03,4,-1,1.33e-06,0.8,1e-06,100,0.5,0.0938
100.270374171711,1,0.03,4,1,1.33e-06,0.8,1e-06,100,0.5,0.0982
100.270374171711,1,0.03,4,-1,1.33e-06,0.8,1e-06,100,0.5,0.0117
100.270374171711,1.05,0.03,4,1,1.33e-06,0.8,1e-06,100,0.5,0.0761
100.270374171711,1.05,0.03,4,-1,1.33e-06,0.8,1e-06,100,0.5,0.0234
100.270374171711,1.1,0.03,4,1,1.33e-06,0.8,1e-06,100,0.5,0.0527
100.270374171711,1.1,0.03,4,-1,1.33e-06,0.8,1e-06,100,0.5,0.0469
100.270374171711,1.15,0.03,4,1,1.33e-06,0.8,1e-06,100,0.5,0.0238
100.270374171711,1.15,0.03,4,-1,1.33e-06,0.8,1e-06,100,0.5,0.0469
100.270374171711,1.2,0.03,4,1,1.33e-06,0.8,1e-06,100,0.5,0.0117
100.270374171711,1.2,0.03,4,-1,1.33e-06,0.8,1e-06,100,0.5,0.0469
100.270374171711,0.8,0.03,9,1,1.33e-06,0.8,1e-06,100,0.5,0
100.270374171711,0.8,0.03,9,-1,1.33e-06,0.8,1e-06,100,0.5,0.1875
100.270374171711,0.85,0.03,9,1,1.33e-06,0.8,1e-06,100,0.5,0
100.270374171711,0.85,0.03,9,-1,1.33e-06,0.8,1e-06,100,0.5,0.1875
100.270374171711,0.9,0.03,9,1,1.33e-06,0.8,1e-06,100,0.5,0
100.270374171711,0.9,0.03,9,-1,1.33e-06,0.8,1e-06,100,0.5,0.0938
100.270374171711,0.95,0.03,9,1,1.33e-06,0.8,1e-06,100,0.5,0
100.270374171711,0.95,0.03,9,-1,1.33e-06,0.8,1e-06,100,0.5,0.0938
100.270374171711,1,0.03,9,1,1.33e-06,0.8,1e-06,100,0.5,0
100.270374171711,1,0.03,9,-1,1.33e-06,0.8,1e-06,100,0.5,0.0117
100.270374171711,1.05,0.03,9,1,1.33e-06,0.8,1e-06,100,0.5,0
100.270374171711,1.05,0.03,9,-1,1.33e-06,0.8,1e-06,100,0.5,0.0234
100.270374171711,1.1,0.03,9,1,1.33e-06,0.8,1e-06,100,0.5,0
100.270374171711,1.1,0.03,9,-1,1.33e-06,0.8,1e-06,100,0.5,0.0469
100.270374171711,1.15,0.03,9,1,1.33e-06,0.8,1e-06,100,0.5,0
100.270374171711,1.15,0.03,9,-1,1.33e-06,0.8,1e-06,100,0.5,0.0469
100.270374171711,1.2,0.03,9,1,1.33e-06,0.8,1e-06,100,0.5,0
100.270374171711,1.2,0.03,9,-1,1.33e-06,0.8,1e-06,100,0.5,0.0469
100.270374171711,0.8,0.03,20,1,1.33e-06,0.8,1e-06,100,0.5,0
100.270374171711,0.8,0.03,20,-1,1.33e-06,0.8,1e-06,100,0.5,0.1875
100.270374171711,0.85,0.03,20,1,1.33e-06,0.8,1e-06,100,0.5,0
100.270374171711,0.85,0.03,20,-1,1.33e-06,0.8,1e-06,100,0.5,0.1875
100.270374171711,0.9,0.03,20,1,1.33e-06,0.8,1e-06,100,0.5,0
100.270374171711,0.9,0.03,20,-1,1.33e-06,0.8,1e-06,100,0.5,0.0938
100.270374171711,0.95,0.03,20,1,1.33e-06,0.8,1e-06,100,0.5,0
100.270374171711,0.95,0.03,20,-1,1.33e-06,0.8,1e-06,100,0.5,0.0938
100.270374171711,1,0.03,20,1,1.33e-06,0.8,1e-06,100,0.5,0
100.270374171711,1,0.03,20,-1,1.33e-06,0.8,1e-06,100,0.5,0.0234
100.270374171711,1.05,0.03,20,1,1.33e-06,0.8,1e-06,100,0.5,0
100.270374171711,1.05,0.03,20,-1,1.33e-06,0.8,1e-06,100,0.5,0.0234
100.270374171711,1.1,0.03,20,1,1.33e-06,0.8,1e-06,100,0.5,0
100.270374171711,1.1,0.03,20,-1,1.33e-06,0.8,1e-06,100,0.5,0.0469
100.270374171711,1.15,0.03,20,1,1.33e-06,0.8,1e-06,100,0.5,0
100.270374171711,1.15,0.03,20,-1,1.33e-06,0.8,1e-06,100,0.5,0.0469
100.270374171711,1.2,0.03,20,1,1.33e-06,0.8,1e-06,100,0.5,0
100.270374171711,1.2,0.03,20,-1,1.33e-06,0.8,1e-06,100,0.5,0.0469
100.270374171711,0.8,0.03,41,1,1.33e-06,0.8,1e-06,100,0.5,0
100.270374171711,0.8,0.03,41,-1,1.33e-06,0.8,1e-06,100,0.5,0.1875
100.270374171711,0.85,0.03,41,1,1.33e-06,0.8,1e-06,100,0.5,0
100.270374171711,0.85,0.03,41,-1,1.33e-06,0.8,1e-06,100,0.5,0.1875
100.270374171711,0.9,0.03,41,1,1.33e-06,0.8,1e-06,100,0.5,0
100.270374171711,0.9,0.03,41,-1,1.33e-06,0.8,1e-06,100,0.5,0.1875
100.270374171711,0.95,0.03,41,1,1.33e-06,0.8,1e-06,100,0.5,0
100.270374171711,0.95,0.03,41,-1,1.33e-06,0.8,1e-06,100,0.5,0.0938
100.270374171711,1,0.03,41,1,1.33e-06,0.8,1e-06,100,0.5,0
