Date,Open,High,Low,Close,Adj Close,Volume,,log return
2006-01-03,82.449997,82.550003,80.809998,82.059998,54.314159,11715100,,
2006-01-04,82.199997,82.5,81.330002,81.949997,54.24136,9832800,,-0.000582489
2006-01-05,81.400002,82.900002,81.25,82.5,54.605408,7213400,,0.002905086
2006-01-06,83.949997,85.029999,83.410004,84.949997,56.227028,8196900,,0.012709472
2006-01-09,83.900002,84.25,83.379997,83.730003,55.419537,6851100,,-0.006282235
2006-01-10,83.150002,84.120003,83.120003,84.07,55.644562,5700000,,0.001759835
2006-01-11,84.370003,84.809998,83.400002,84.169998,55.710758,5776400,,0.000516339
2006-01-12,83.82,83.959999,83.400002,83.57,55.313625,4924100,,-0.003106946
2006-01-13,83,83.449997,82.5,83.169998,55.048866,6921600,,-0.002083744
2006-01-17,82.800003,83.160004,82.540001,83,54.936375,8718400,,-0.000888378
2006-01-18,84,84.699997,83.519997,83.800003,55.465862,10984800,,0.004165768
2006-01-19,84.139999,84.389999,83.019997,83.089996,54.995918,6483500,,-0.003695311
2006-01-20,83.040001,83.050003,81.25,81.360001,53.850868,8605800,,-0.009137748
2006-01-23,81.330002,81.919998,80.919998,81.410004,53.883965,6114100,,0.000266837
2006-01-24,81.389999,82.150002,80.800003,80.849998,53.513309,6069000,,-0.002997739
2006-01-25,81.050003,81.620003,80.610001,80.910004,53.55302,6374300,,0.00032216
2006-01-26,81.5,81.650002,80.589996,80.720001,53.427258,7810200,,-0.001021081
2006-01-27,80.75,81.769997,80.75,81.019997,53.625809,6103400,,0.001610971
2006-01-30,80.209999,81.809998,80.209999,81.629997,54.029572,5325100,,0.00325767
2006-01-31,81.5,82,81.169998,81.300003,53.811161,6771600,,-0.001759165
2006-02-01,80.900002,82.239998,80.650002,81.940002,54.234783,5419300,,0.003405545
2006-02-02,81.449997,81.589996,80.900002,81.230003,53.764805,6198000,,-0.003779832
2006-02-03,80.550003,80.769997,79.720001,79.970001,52.930847,9852000,,-0.006789231
2006-02-06,79.940002,79.949997,78.93,79.510002,52.626389,9568500,,-0.002505272
2006-02-07,79.5,80.190002,79.300003,79.849998,52.851433,5247300,,0.001853196
2006-02-08,80.580002,80.900002,80.239998,80.800003,53.614483,5029200,,0.006225355
2006-02-09,80.400002,80.800003,79.5,80.400002,53.349064,7609200,,-0.002155318
2006-02-10,80.400002,81.459999,80.199997,81.330002,53.966198,5371900,,0.004995018
2006-02-13,81.330002,81.910004,80.18,80.440002,53.375626,5257400,,-0.004778841
2006-02-14,80.550003,81.449997,80.349998,81.089996,53.806934,6075500,,0.003495264
2006-02-15,80.860001,81.5,80.5,80.849998,53.647682,5052000,,-0.001287284
2006-02-16,80.68,80.910004,80.129997,80.910004,53.687477,5310500,,0.000322033
2006-02-17,80.910004,81.029999,80.129997,80.709999,53.554775,5298800,,-0.001074796
2006-02-21,80.099998,80.75,79.970001,80.5,53.415428,5838000,,-0.001131486
2006-02-22,80,81.650002,79.970001,81.349998,53.979431,5294300,,0.00456159
2006-02-23,81.199997,81.339996,80.040001,80.199997,53.216385,4979400,,-0.006182933
2006-02-24,80.650002,80.650002,79.849998,80.099998,53.149994,3903200,,-0.00054215
2006-02-27,79.970001,80.889999,79.949997,80.629997,53.501694,3787000,,0.002864313
2006-02-28,80.099998,80.550003,79.709999,80.239998,53.242931,5960700,,-0.002105578
2006-03-01,80.199997,80.809998,79.779999,79.900002,53.017303,5172300,,-0.001844324
2006-03-02,79.550003,80.209999,79.540001,79.940002,53.043831,4418800,,0.000217251
2006-03-03,79.510002,80.830002,79.510002,79.959999,53.057121,4354400,,0.000108798
