Date,Open,High,Low,Close,Adj Close,Volume,,log return
2006-01-03,126.699997,129.440002,124.230003,128.869995,106.906731,6188700,,
2006-01-04,127.349998,128.910004,126.379997,127.089996,105.430092,4861600,,-0.006040464
2006-01-05,126,127.32,125.610001,127.040001,105.388611,3717400,,-0.000170905
2006-01-06,127.290001,129.25,127.290001,128.839996,106.88179,4319600,,0.006110038
2006-01-09,128.5,130.619995,128,130.389999,108.167694,4723500,,0.005193853
2006-01-10,130.050003,132.949997,130.020004,132.029999,109.528145,5536800,,0.005428161
2006-01-11,131.449997,133.800003,131.419998,131.970001,109.478401,4671400,,-0.000197287
2006-01-12,131.399994,133.210007,131.380005,132.25,109.710686,3725500,,0.000920485
2006-01-13,132.020004,133.660004,131.899994,133.259995,110.548531,2894900,,0.003304045
2006-01-17,131,133.130005,130.589996,132.589996,109.992699,3621600,,-0.002189117
2006-01-18,131.059998,132.679993,131.009995,132.369995,109.810242,4302700,,-0.00072101
2006-01-19,132.720001,134.820007,132.710007,133.820007,111.013084,5010700,,0.004731319
2006-01-20,132.850006,134.059998,131.25,131.440002,109.24279,5679900,,-0.006981384
2006-01-23,131.639999,134.179993,131.639999,132.869995,110.431343,3847900,,0.004699571
2006-01-24,132.630005,134.089996,132.339996,133,110.539368,3758000,,0.000424623
2006-01-25,133.649994,134.039993,132.460007,133.559998,111.004807,3740500,,0.001824809
2006-01-26,133.009995,138.360001,133.009995,137.399994,114.196281,4808200,,0.012310175
2006-01-27,137.929993,139.75,137.100006,138.940002,115.476234,3687900,,0.004840651
2006-01-30,139.550003,140.639999,138.710007,139.869995,116.249168,3168600,,0.002897241
2006-01-31,139.729996,141.860001,138.449997,141.25,117.396133,4906200,,0.004263938
2006-02-01,141.399994,142.949997,140.429993,141.710007,117.778435,3635900,,0.001411988
2006-02-02,142.270004,143.770004,141.399994,142.520004,118.451668,3711000,,0.002475401
2006-02-03,141.550003,143.119995,140.699997,142.740005,118.634514,4178900,,0.000669875
2006-02-06,142.610001,144.100006,141.600006,142.820007,118.700981,3849300,,0.000243253
2006-02-07,142.350006,143.309998,139.479996,139.479996,115.925056,5207700,,-0.010276994
2006-02-08,140.100006,141.929993,139.320007,141.139999,117.304688,4481400,,0.005138054
2006-02-09,141.139999,142.850006,140.490005,140.850006,117.063713,3059500,,-0.000893074
2006-02-10,140.669998,141.850006,137.800003,140.809998,117.030434,4433100,,-0.000123479
2006-02-13,139.649994,141.800003,139.149994,139.649994,116.06633,2155200,,-0.003592563
2006-02-14,141.199997,142.320007,138.770004,141.779999,117.836609,3003100,,0.006573984
2006-02-15,142,145.5,141.399994,145.139999,120.629173,4330700,,0.010172114
2006-02-16,146.100006,146.350006,144.210007,145.899994,121.260849,2847300,,0.002268254
2006-02-17,146.190002,146.220001,144.059998,145.539993,120.96167,2407200,,-0.001072831
2006-02-21,145.559998,145.75,143.009995,143.449997,119.224571,2539800,,-0.006282006
