Date,Open,High,Low,Close,Adj Close,Volume,,log return
2006-01-03,10.34,10.678572,10.321428,10.678572,9.227774,201808600,,
2006-01-04,10.732857,10.854285,10.642858,10.71,9.254934,154900900,,0.001276376
2006-01-05,10.69,10.7,10.535714,10.625714,9.182097,112355600,,-0.00343145
2006-01-06,10.75,10.957143,10.65,10.9,9.419118,176114400,,0.011068361
2006-01-09,10.961429,11.028571,10.82,10.864285,9.388256,168760200,,-0.001425314
2006-01-10,10.892858,11.698571,10.832857,11.551429,9.982043,569967300,,0.026634513
2006-01-11,11.977143,12.114285,11.798572,11.985714,10.357327,373448600,,0.016028252
2006-01-12,12.138572,12.342857,11.945714,12.041429,10.405475,320202400,,0.002014222
2006-01-13,12.141429,12.287143,12.085714,12.227143,10.565956,194076400,,0.006646888
2006-01-17,12.242857,12.34,11.981428,12.101429,10.457322,208905900,,-0.004488317
2006-01-18,11.868571,12.007143,11.692857,11.784286,10.183264,300159300,,-0.011533478
2006-01-19,11.607142,11.665714,11.248571,11.291429,9.757367,423962000,,-0.018554363
2006-01-20,11.325714,11.434286,10.832857,10.87,9.393193,283689700,,-0.016519394
2006-01-23,10.871428,11.365714,10.857142,11.095715,9.588244,264932500,,0.008925832
2006-01-24,11.251429,11.345715,10.824286,10.862857,9.387023,285563600,,-0.009211195
2006-01-25,11.055715,11.071428,10.464286,10.6,9.159877,318946600,,-0.01063824
2006-01-26,10.647142,10.775714,10.275714,10.332857,8.929028,295346800,,-0.011085457
2006-01-27,10.421429,10.514286,10.157143,10.29,8.891994,238466200,,-0.001805024
2006-01-30,10.167143,10.942857,10.124286,10.714286,9.25864,349600300,,0.017548037
2006-01-31,10.785714,10.905714,10.535714,10.787143,9.321595,228385500,,0.002943032
2006-02-01,10.707143,10.922857,10.662857,10.774285,9.310485,130296600,,-0.000517925
2006-02-02,10.728572,10.765715,10.292857,10.3,8.900634,176830500,,-0.019551362
2006-02-03,10.32,10.398571,10.148571,10.264286,8.869773,173030900,,-0.001508438
2006-02-06,10.288571,10.358571,9.534286,9.614285,8.308082,412941900,,-0.028411731
2006-02-07,9.752857,9.925714,9.525714,9.657143,8.345116,347207700,,0.001931604
2006-02-08,9.784286,9.868571,9.428572,9.83,8.49449,238278600,,0.007704932
2006-02-09,9.871428,9.89,9.218572,9.278571,8.01798,287441000,,-0.025072341
2006-02-10,9.311429,9.667143,8.985714,9.615714,8.309319,440119400,,0.015500464
2006-02-13,9.518572,9.535714,9.234285,9.244286,7.98835,220874500,,-0.017108347
2006-02-14,9.3,9.728572,9.285714,9.662857,8.350056,290234700,,0.019232303
2006-02-15,9.594286,9.945714,9.535714,9.888572,8.545103,289942800,,0.010027914
2006-02-16,9.987143,10.144286,9.925714,10.081429,8.711758,237043800,,0.008388501
2006-02-17,10.042857,10.127143,9.944285,10.041429,8.677194,143999800,,-0.001726496
2006-02-21,10.084286,10.114285,9.811429,9.868571,8.527822,194901700,,-0.00754118
